,date,location,location_name,value
117,2020-02-28,GM09,Saarland State,0
118,2020-02-28,GM10,Schleswig-Holstein State,0
119,2020-02-28,GM11,Brandenburg State,0
120,2020-02-28,GM12,Mecklenburg-Western Pomerania State,0
121,2020-02-28,GM13,Free State of Saxony,0
122,2020-02-28,GM14,Sachsen-Anhalt State,0
123,2020-02-28,GM15,Free State of Thuringia,0
124,2020-02-28,GM16,Berlin State,0
125,2020-02-29,GM,Germany,0
126,2020-02-29,GM01,Baden-Württemberg State,0
127,2020-02-29,GM02,Free State of Bavaria,0
128,2020-02-29,GM03,Free Hanseatic City of Bremen,0
129,2020-02-29,GM04,Free Hanseatic City of Hamburg,0
130,2020-02-29,GM05,Hesse State,0
131,2020-02-29,GM06,Lower Saxony State,0
132,2020-02-29,GM07,North Rhine-Westphalia State,0
133,2020-02-29,GM08,Rhineland-Palatinate State,0
134,2020-02-29,GM09,Saarland State,0
135,2020-02-29,GM10,Schleswig-Holstein State,0
136,2020-02-29,GM11,Brandenburg State,0
137,2020-02-29,GM12,Mecklenburg-Western Pomerania State,0
138,2020-02-29,GM13,Free State of Saxony,0
139,2020-02-29,GM14,Sachsen-Anhalt State,0
140,2020-02-29,GM15,Free State of Thuringia,0
141,2020-02-29,GM16,Berlin State,0
142,2020-03-01,GM,Germany,0
143,2020-03-01,GM01,Baden-Württemberg State,0
144,2020-03-01,GM02,Free State of Bavaria,0
145,2020-03-01,GM03,Free Hanseatic City of Bremen,0
146,2020-03-01,GM04,Free Hanseatic City of Hamburg,0
147,2020-03-01,GM05,Hesse State,0
148,2020-03-01,GM06,Lower Saxony State,0
149,2020-03-01,GM07,North Rhine-Westphalia State,0
150,2020-03-01,GM08,Rhineland-Palatinate State,0
151,2020-03-01,GM09,Saarland State,0
152,2020-03-01,GM10,Schleswig-Holstein State,0
153,2020-03-01,GM11,Brandenburg State,0
154,2020-03-01,GM12,Mecklenburg-Western Pomerania State,0
155,2020-03-01,GM13,Free State of Saxony,0
156,2020-03-01,GM14,Sachsen-Anhalt State,0
157,2020-03-01,GM15,Free State of Thuringia,0
158,2020-03-01,GM16,Berlin State,0
159,2020-03-02,GM,Germany,0
160,2020-03-02,GM01,Baden-Württemberg State,0
161,2020-03-02,GM02,Free State of Bavaria,0
162,2020-03-02,GM03,Free Hanseatic City of Bremen,0
163,2020-03-02,GM04,Free Hanseatic City of Hamburg,0
164,2020-03-02,GM05,Hesse State,0
165,2020-03-02,GM06,Lower Saxony State,0
166,2020-03-02,GM07,North Rhine-Westphalia State,0
167,2020-03-02,GM08,Rhineland-Palatinate State,0
168,2020-03-02,GM09,Saarland State,0
169,2020-03-02,GM10,Schleswig-Holstein State,0
170,2020-03-02,GM11,Brandenburg State,0
171,2020-03-02,GM12,Mecklenburg-Western Pomerania State,0
172,2020-03-02,GM13,Free State of Saxony,0
173,2020-03-02,GM14,Sachsen-Anhalt State,0
174,2020-03-02,GM15,Free State of Thuringia,0
175,2020-03-02,GM16,Berlin State,0
176,2020-03-03,GM,Germany,0
177,2020-03-03,GM01,Baden-Württemberg State,0
178,2020-03-03,GM02,Free State of Bavaria,0
179,2020-03-03,GM03,Free Hanseatic City of Bremen,0
180,2020-03-03,GM04,Free Hanseatic City of Hamburg,0
181,2020-03-03,GM05,Hesse State,0
182,2020-03-03,GM06,Lower Saxony State,0
183,2020-03-03,GM07,North Rhine-Westphalia State,0
184,2020-03-03,GM08,Rhineland-Palatinate State,0
185,2020-03-03,GM09,Saarland State,0
186,2020-03-03,GM10,Schleswig-Holstein State,0
187,2020-03-03,GM11,Brandenburg State,0
188,2020-03-03,GM12,Mecklenburg-Western Pomerania State,0
189,2020-03-03,GM13,Free State of Saxony,0
190,2020-03-03,GM14,Sachsen-Anhalt State,0
191,2020-03-03,GM15,Free State of Thuringia,0
192,2020-03-03,GM16,Berlin State,0
193,2020-03-04,GM,Germany,0
194,2020-03-04,GM01,Baden-Württemberg State,0
195,2020-03-04,GM02,Free State of Bavaria,0
196,2020-03-04,GM03,Free Hanseatic City of Bremen,0
197,2020-03-04,GM04,Free Hanseatic City of Hamburg,0
198,2020-03-04,GM05,Hesse State,0
199,2020-03-04,GM06,Lower Saxony State,0
200,2020-03-04,GM07,North Rhine-Westphalia State,0
201,2020-03-04,GM08,Rhineland-Palatinate State,0
202,2020-03-04,GM09,Saarland State,0
203,2020-03-04,GM10,Schleswig-Holstein State,0
204,2020-03-04,GM11,Brandenburg State,0
205,2020-03-04,GM12,Mecklenburg-Western Pomerania State,0
206,2020-03-04,GM13,Free State of Saxony,0
207,2020-03-04,GM15,Free State of Thuringia,0
208,2020-03-04,GM16,Berlin State,0
209,2020-03-05,GM,Germany,0
210,2020-03-05,GM01,Baden-Württemberg State,0
211,2020-03-05,GM02,Free State of Bavaria,0
212,2020-03-05,GM03,Free Hanseatic City of Bremen,0
213,2020-03-05,GM04,Free Hanseatic City of Hamburg,0
214,2020-03-05,GM05,Hesse State,0
215,2020-03-05,GM06,Lower Saxony State,0
216,2020-03-05,GM07,North Rhine-Westphalia State,0
217,2020-03-05,GM08,Rhineland-Palatinate State,0
218,2020-03-05,GM09,Saarland State,0
219,2020-03-05,GM10,Schleswig-Holstein State,0
220,2020-03-05,GM11,Brandenburg State,0
221,2020-03-05,GM12,Mecklenburg-Western Pomerania State,0
222,2020-03-05,GM13,Free State of Saxony,0
223,2020-03-05,GM15,Free State of Thuringia,0
224,2020-03-05,GM16,Berlin State,0
225,2020-03-06,GM,Germany,0
226,2020-03-06,GM01,Baden-Württemberg State,0
227,2020-03-06,GM02,Free State of Bavaria,0
228,2020-03-06,GM03,Free Hanseatic City of Bremen,0
229,2020-03-06,GM04,Free Hanseatic City of Hamburg,0
230,2020-03-06,GM05,Hesse State,0
231,2020-03-06,GM06,Lower Saxony State,0
232,2020-03-06,GM07,North Rhine-Westphalia State,0
233,2020-03-06,GM08,Rhineland-Palatinate State,0
234,2020-03-06,GM09,Saarland State,0
235,2020-03-06,GM10,Schleswig-Holstein State,0
236,2020-03-06,GM11,Brandenburg State,0
237,2020-03-06,GM12,Mecklenburg-Western Pomerania State,0
238,2020-03-06,GM13,Free State of Saxony,0
239,2020-03-06,GM15,Free State of Thuringia,0
240,2020-03-06,GM16,Berlin State,0
241,2020-03-07,GM,Germany,0
242,2020-03-07,GM01,Baden-Württemberg State,0
243,2020-03-07,GM02,Free State of Bavaria,0
244,2020-03-07,GM03,Free Hanseatic City of Bremen,0
245,2020-03-07,GM04,Free Hanseatic City of Hamburg,0
246,2020-03-07,GM05,Hesse State,0
247,2020-03-07,GM06,Lower Saxony State,0
248,2020-03-07,GM07,North Rhine-Westphalia State,0
249,2020-03-07,GM08,Rhineland-Palatinate State,0
250,2020-03-07,GM09,Saarland State,0
251,2020-03-07,GM10,Schleswig-Holstein State,0
252,2020-03-07,GM11,Brandenburg State,0
253,2020-03-07,GM12,Mecklenburg-Western Pomerania State,0
254,2020-03-07,GM13,Free State of Saxony,0
255,2020-03-07,GM15,Free State of Thuringia,0
256,2020-03-07,GM16,Berlin State,0
257,2020-03-08,GM,Germany,0
258,2020-03-08,GM01,Baden-Württemberg State,0
259,2020-03-08,GM02,Free State of Bavaria,0
260,2020-03-08,GM03,Free Hanseatic City of Bremen,0
261,2020-03-08,GM04,Free Hanseatic City of Hamburg,0
262,2020-03-08,GM05,Hesse State,0
263,2020-03-08,GM06,Lower Saxony State,0
264,2020-03-08,GM07,North Rhine-Westphalia State,0
265,2020-03-08,GM08,Rhineland-Palatinate State,0
266,2020-03-08,GM09,Saarland State,0
267,2020-03-08,GM10,Schleswig-Holstein State,0
268,2020-03-08,GM11,Brandenburg State,0
269,2020-03-08,GM12,Mecklenburg-Western Pomerania State,0
270,2020-03-08,GM13,Free State of Saxony,0
271,2020-03-08,GM15,Free State of Thuringia,0
272,2020-03-08,GM16,Berlin State,0
273,2020-03-09,GM,Germany,2
274,2020-03-09,GM01,Baden-Württemberg State,0
275,2020-03-09,GM02,Free State of Bavaria,0
276,2020-03-09,GM03,Free Hanseatic City of Bremen,0
277,2020-03-09,GM04,Free Hanseatic City of Hamburg,0
278,2020-03-09,GM05,Hesse State,0
279,2020-03-09,GM06,Lower Saxony State,0
280,2020-03-09,GM07,North Rhine-Westphalia State,2
281,2020-03-09,GM08,Rhineland-Palatinate State,0
282,2020-03-09,GM09,Saarland State,0
283,2020-03-09,GM10,Schleswig-Holstein State,0
284,2020-03-09,GM11,Brandenburg State,0
285,2020-03-09,GM12,Mecklenburg-Western Pomerania State,0
286,2020-03-09,GM13,Free State of Saxony,0
287,2020-03-09,GM15,Free State of Thuringia,0
288,2020-03-09,GM16,Berlin State,0
289,2020-03-10,GM,Germany,2
290,2020-03-10,GM01,Baden-Württemberg State,0
291,2020-03-10,GM02,Free State of Bavaria,0
292,2020-03-10,GM03,Free Hanseatic City of Bremen,0
293,2020-03-10,GM04,Free Hanseatic City of Hamburg,0
294,2020-03-10,GM05,Hesse State,0
295,2020-03-10,GM06,Lower Saxony State,0
296,2020-03-10,GM07,North Rhine-Westphalia State,2
297,2020-03-10,GM08,Rhineland-Palatinate State,0
298,2020-03-10,GM09,Saarland State,0
299,2020-03-10,GM10,Schleswig-Holstein State,0
300,2020-03-10,GM11,Brandenburg State,0
301,2020-03-10,GM12,Mecklenburg-Western Pomerania State,0
302,2020-03-10,GM13,Free State of Saxony,0
303,2020-03-10,GM14,Sachsen-Anhalt State,0
304,2020-03-10,GM15,Free State of Thuringia,0
305,2020-03-10,GM16,Berlin State,0
306,2020-03-11,GM,Germany,3
307,2020-03-11,GM01,Baden-Württemberg State,0
308,2020-03-11,GM02,Free State of Bavaria,0
309,2020-03-11,GM03,Free Hanseatic City of Bremen,0
310,2020-03-11,GM04,Free Hanseatic City of Hamburg,0
311,2020-03-11,GM05,Hesse State,0
312,2020-03-11,GM06,Lower Saxony State,0
313,2020-03-11,GM07,North Rhine-Westphalia State,3
314,2020-03-11,GM08,Rhineland-Palatinate State,0
315,2020-03-11,GM09,Saarland State,0
316,2020-03-11,GM10,Schleswig-Holstein State,0
317,2020-03-11,GM11,Brandenburg State,0
318,2020-03-11,GM12,Mecklenburg-Western Pomerania State,0
319,2020-03-11,GM13,Free State of Saxony,0
320,2020-03-11,GM14,Sachsen-Anhalt State,0
321,2020-03-11,GM15,Free State of Thuringia,0
322,2020-03-11,GM16,Berlin State,0
323,2020-03-12,GM,Germany,5
324,2020-03-12,GM01,Baden-Württemberg State,1
325,2020-03-12,GM02,Free State of Bavaria,1
326,2020-03-12,GM03,Free Hanseatic City of Bremen,0
327,2020-03-12,GM04,Free Hanseatic City of Hamburg,0
328,2020-03-12,GM05,Hesse State,0
329,2020-03-12,GM06,Lower Saxony State,0
330,2020-03-12,GM07,North Rhine-Westphalia State,3
331,2020-03-12,GM08,Rhineland-Palatinate State,0
332,2020-03-12,GM09,Saarland State,0
333,2020-03-12,GM10,Schleswig-Holstein State,0
334,2020-03-12,GM11,Brandenburg State,0
335,2020-03-12,GM12,Mecklenburg-Western Pomerania State,0
336,2020-03-12,GM13,Free State of Saxony,0
337,2020-03-12,GM14,Sachsen-Anhalt State,0
338,2020-03-12,GM15,Free State of Thuringia,0
339,2020-03-12,GM16,Berlin State,0
340,2020-03-13,GM,Germany,5
341,2020-03-13,GM01,Baden-Württemberg State,1
342,2020-03-13,GM02,Free State of Bavaria,1
343,2020-03-13,GM03,Free Hanseatic City of Bremen,0
344,2020-03-13,GM04,Free Hanseatic City of Hamburg,0
345,2020-03-13,GM05,Hesse State,0
346,2020-03-13,GM06,Lower Saxony State,0
347,2020-03-13,GM07,North Rhine-Westphalia State,3
348,2020-03-13,GM08,Rhineland-Palatinate State,0
349,2020-03-13,GM09,Saarland State,0
350,2020-03-13,GM10,Schleswig-Holstein State,0
351,2020-03-13,GM11,Brandenburg State,0
352,2020-03-13,GM12,Mecklenburg-Western Pomerania State,0
353,2020-03-13,GM13,Free State of Saxony,0
354,2020-03-13,GM14,Sachsen-Anhalt State,0
355,2020-03-13,GM15,Free State of Thuringia,0
356,2020-03-13,GM16,Berlin State,0
357,2020-03-14,GM,Germany,8
358,2020-03-14,GM01,Baden-Württemberg State,2
359,2020-03-14,GM02,Free State of Bavaria,1
360,2020-03-14,GM03,Free Hanseatic City of Bremen,0
361,2020-03-14,GM04,Free Hanseatic City of Hamburg,0
362,2020-03-14,GM05,Hesse State,0
363,2020-03-14,GM06,Lower Saxony State,0
364,2020-03-14,GM07,North Rhine-Westphalia State,5
365,2020-03-14,GM08,Rhineland-Palatinate State,0
366,2020-03-14,GM09,Saarland State,0
367,2020-03-14,GM10,Schleswig-Holstein State,0
368,2020-03-14,GM11,Brandenburg State,0
369,2020-03-14,GM12,Mecklenburg-Western Pomerania State,0
370,2020-03-14,GM13,Free State of Saxony,0
371,2020-03-14,GM14,Sachsen-Anhalt State,0
372,2020-03-14,GM15,Free State of Thuringia,0
373,2020-03-14,GM16,Berlin State,0
374,2020-03-15,GM,Germany,11
375,2020-03-15,GM01,Baden-Württemberg State,2
376,2020-03-15,GM02,Free State of Bavaria,4
377,2020-03-15,GM03,Free Hanseatic City of Bremen,0
378,2020-03-15,GM04,Free Hanseatic City of Hamburg,0
379,2020-03-15,GM05,Hesse State,0
380,2020-03-15,GM06,Lower Saxony State,0
381,2020-03-15,GM07,North Rhine-Westphalia State,5
382,2020-03-15,GM08,Rhineland-Palatinate State,0
383,2020-03-15,GM09,Saarland State,0
384,2020-03-15,GM10,Schleswig-Holstein State,0
385,2020-03-15,GM11,Brandenburg State,0
386,2020-03-15,GM12,Mecklenburg-Western Pomerania State,0
387,2020-03-15,GM13,Free State of Saxony,0
388,2020-03-15,GM14,Sachsen-Anhalt State,0
389,2020-03-15,GM15,Free State of Thuringia,0
390,2020-03-15,GM16,Berlin State,0
391,2020-03-16,GM,Germany,11
392,2020-03-16,GM01,Baden-Württemberg State,2
393,2020-03-16,GM02,Free State of Bavaria,4
394,2020-03-16,GM03,Free Hanseatic City of Bremen,0
395,2020-03-16,GM04,Free Hanseatic City of Hamburg,0
396,2020-03-16,GM05,Hesse State,0
397,2020-03-16,GM06,Lower Saxony State,0
398,2020-03-16,GM07,North Rhine-Westphalia State,5
399,2020-03-16,GM08,Rhineland-Palatinate State,0
400,2020-03-16,GM09,Saarland State,0
401,2020-03-16,GM10,Schleswig-Holstein State,0
402,2020-03-16,GM11,Brandenburg State,0
403,2020-03-16,GM12,Mecklenburg-Western Pomerania State,0
404,2020-03-16,GM13,Free State of Saxony,0
405,2020-03-16,GM14,Sachsen-Anhalt State,0
406,2020-03-16,GM15,Free State of Thuringia,0
407,2020-03-16,GM16,Berlin State,0
408,2020-03-17,GM,Germany,12
409,2020-03-17,GM01,Baden-Württemberg State,2
410,2020-03-17,GM02,Free State of Bavaria,4
411,2020-03-17,GM03,Free Hanseatic City of Bremen,0
412,2020-03-17,GM04,Free Hanseatic City of Hamburg,0
413,2020-03-17,GM05,Hesse State,0
414,2020-03-17,GM06,Lower Saxony State,0
415,2020-03-17,GM07,North Rhine-Westphalia State,6
416,2020-03-17,GM08,Rhineland-Palatinate State,0
417,2020-03-17,GM09,Saarland State,0
418,2020-03-17,GM10,Schleswig-Holstein State,0
419,2020-03-17,GM11,Brandenburg State,0
420,2020-03-17,GM12,Mecklenburg-Western Pomerania State,0
421,2020-03-17,GM13,Free State of Saxony,0
422,2020-03-17,GM14,Sachsen-Anhalt State,0
423,2020-03-17,GM15,Free State of Thuringia,0
424,2020-03-17,GM16,Berlin State,0
425,2020-03-18,GM,Germany,12
426,2020-03-18,GM01,Baden-Württemberg State,2
427,2020-03-18,GM02,Free State of Bavaria,4
428,2020-03-18,GM03,Free Hanseatic City of Bremen,0
429,2020-03-18,GM04,Free Hanseatic City of Hamburg,0
430,2020-03-18,GM05,Hesse State,0
431,2020-03-18,GM06,Lower Saxony State,0
432,2020-03-18,GM07,North Rhine-Westphalia State,6
433,2020-03-18,GM08,Rhineland-Palatinate State,0
434,2020-03-18,GM09,Saarland State,0
435,2020-03-18,GM10,Schleswig-Holstein State,0
436,2020-03-18,GM11,Brandenburg State,0
437,2020-03-18,GM12,Mecklenburg-Western Pomerania State,0
438,2020-03-18,GM13,Free State of Saxony,0
439,2020-03-18,GM14,Sachsen-Anhalt State,0
440,2020-03-18,GM15,Free State of Thuringia,0
441,2020-03-18,GM16,Berlin State,0
442,2020-03-19,GM,Germany,20
443,2020-03-19,GM01,Baden-Württemberg State,6
444,2020-03-19,GM02,Free State of Bavaria,8
445,2020-03-19,GM03,Free Hanseatic City of Bremen,0
446,2020-03-19,GM04,Free Hanseatic City of Hamburg,0
447,2020-03-19,GM05,Hesse State,0
448,2020-03-19,GM06,Lower Saxony State,0
449,2020-03-19,GM07,North Rhine-Westphalia State,6
450,2020-03-19,GM08,Rhineland-Palatinate State,0
451,2020-03-19,GM09,Saarland State,0
452,2020-03-19,GM10,Schleswig-Holstein State,0
453,2020-03-19,GM11,Brandenburg State,0
454,2020-03-19,GM12,Mecklenburg-Western Pomerania State,0
455,2020-03-19,GM13,Free State of Saxony,0
456,2020-03-19,GM14,Sachsen-Anhalt State,0
457,2020-03-19,GM15,Free State of Thuringia,0
458,2020-03-19,GM16,Berlin State,0
459,2020-03-20,GM,Germany,31
460,2020-03-20,GM01,Baden-Württemberg State,10
461,2020-03-20,GM02,Free State of Bavaria,12
462,2020-03-20,GM03,Free Hanseatic City of Bremen,0
463,2020-03-20,GM04,Free Hanseatic City of Hamburg,0
464,2020-03-20,GM05,Hesse State,1
465,2020-03-20,GM06,Lower Saxony State,0
466,2020-03-20,GM07,North Rhine-Westphalia State,6
467,2020-03-20,GM08,Rhineland-Palatinate State,1
468,2020-03-20,GM09,Saarland State,0
469,2020-03-20,GM10,Schleswig-Holstein State,1
470,2020-03-20,GM11,Brandenburg State,0
471,2020-03-20,GM12,Mecklenburg-Western Pomerania State,0
472,2020-03-20,GM13,Free State of Saxony,0
473,2020-03-20,GM14,Sachsen-Anhalt State,0
474,2020-03-20,GM15,Free State of Thuringia,0
475,2020-03-20,GM16,Berlin State,0
476,2020-03-21,GM,Germany,47
477,2020-03-21,GM01,Baden-Württemberg State,16
478,2020-03-21,GM02,Free State of Bavaria,19
479,2020-03-21,GM03,Free Hanseatic City of Bremen,0
480,2020-03-21,GM04,Free Hanseatic City of Hamburg,0
481,2020-03-21,GM05,Hesse State,2
482,2020-03-21,GM06,Lower Saxony State,0
483,2020-03-21,GM07,North Rhine-Westphalia State,6
484,2020-03-21,GM08,Rhineland-Palatinate State,1
485,2020-03-21,GM09,Saarland State,0
486,2020-03-21,GM10,Schleswig-Holstein State,1
487,2020-03-21,GM11,Brandenburg State,0
488,2020-03-21,GM12,Mecklenburg-Western Pomerania State,0
489,2020-03-21,GM13,Free State of Saxony,0
490,2020-03-21,GM14,Sachsen-Anhalt State,1
491,2020-03-21,GM15,Free State of Thuringia,0
492,2020-03-21,GM16,Berlin State,1
493,2020-03-22,GM,Germany,55
494,2020-03-22,GM01,Baden-Württemberg State,21
495,2020-03-22,GM02,Free State of Bavaria,21
496,2020-03-22,GM03,Free Hanseatic City of Bremen,0
497,2020-03-22,GM04,Free Hanseatic City of Hamburg,0
498,2020-03-22,GM05,Hesse State,2
499,2020-03-22,GM06,Lower Saxony State,1
500,2020-03-22,GM07,North Rhine-Westphalia State,6
501,2020-03-22,GM08,Rhineland-Palatinate State,2
502,2020-03-22,GM09,Saarland State,0
503,2020-03-22,GM10,Schleswig-Holstein State,1
504,2020-03-22,GM11,Brandenburg State,0
505,2020-03-22,GM12,Mecklenburg-Western Pomerania State,0
506,2020-03-22,GM13,Free State of Saxony,0
507,2020-03-22,GM14,Sachsen-Anhalt State,0
508,2020-03-22,GM15,Free State of Thuringia,0
509,2020-03-22,GM16,Berlin State,1
510,2020-03-23,GM,Germany,86
511,2020-03-23,GM01,Baden-Württemberg State,21
512,2020-03-23,GM02,Free State of Bavaria,26
513,2020-03-23,GM03,Free Hanseatic City of Bremen,0
514,2020-03-23,GM04,Free Hanseatic City of Hamburg,0
515,2020-03-23,GM05,Hesse State,3
516,2020-03-23,GM06,Lower Saxony State,4
517,2020-03-23,GM07,North Rhine-Westphalia State,28
518,2020-03-23,GM08,Rhineland-Palatinate State,2
519,2020-03-23,GM09,Saarland State,0
520,2020-03-23,GM10,Schleswig-Holstein State,1
521,2020-03-23,GM11,Brandenburg State,0
522,2020-03-23,GM12,Mecklenburg-Western Pomerania State,0
523,2020-03-23,GM13,Free State of Saxony,0
524,2020-03-23,GM14,Sachsen-Anhalt State,0
525,2020-03-23,GM15,Free State of Thuringia,0
526,2020-03-23,GM16,Berlin State,1
527,2020-03-24,GM,Germany,114
528,2020-03-24,GM01,Baden-Württemberg State,30
529,2020-03-24,GM02,Free State of Bavaria,30
530,2020-03-24,GM03,Free Hanseatic City of Bremen,0
531,2020-03-24,GM04,Free Hanseatic City of Hamburg,0
532,2020-03-24,GM05,Hesse State,4
533,2020-03-24,GM06,Lower Saxony State,6
534,2020-03-24,GM07,North Rhine-Westphalia State,33
535,2020-03-24,GM08,Rhineland-Palatinate State,5
536,2020-03-24,GM09,Saarland State,1
537,2020-03-24,GM10,Schleswig-Holstein State,2
538,2020-03-24,GM11,Brandenburg State,0
539,2020-03-24,GM12,Mecklenburg-Western Pomerania State,0
540,2020-03-24,GM13,Free State of Saxony,1
541,2020-03-24,GM14,Sachsen-Anhalt State,0
542,2020-03-24,GM15,Free State of Thuringia,1
543,2020-03-24,GM16,Berlin State,1
544,2020-03-25,GM,Germany,149
545,2020-03-25,GM01,Baden-Württemberg State,37
546,2020-03-25,GM02,Free State of Bavaria,37
547,2020-03-25,GM03,Free Hanseatic City of Bremen,0
548,2020-03-25,GM04,Free Hanseatic City of Hamburg,0
549,2020-03-25,GM05,Hesse State,4
550,2020-03-25,GM06,Lower Saxony State,7
551,2020-03-25,GM07,North Rhine-Westphalia State,43
552,2020-03-25,GM08,Rhineland-Palatinate State,5
553,2020-03-25,GM09,Saarland State,2
554,2020-03-25,GM10,Schleswig-Holstein State,3
555,2020-03-25,GM11,Brandenburg State,1
