,date,location,location_name,value
115,2020-02-28,GM07,North Rhine-Westphalia State,25
116,2020-02-28,GM08,Rhineland-Palatinate State,0
117,2020-02-28,GM09,Saarland State,0
118,2020-02-28,GM10,Schleswig-Holstein State,1
119,2020-02-28,GM11,Brandenburg State,0
120,2020-02-28,GM12,Mecklenburg-Western Pomerania State,0
121,2020-02-28,GM13,Free State of Saxony,0
122,2020-02-28,GM14,Sachsen-Anhalt State,0
123,2020-02-28,GM15,Free State of Thuringia,0
124,2020-02-28,GM16,Berlin State,0
125,2020-02-29,GM,Germany,52
126,2020-02-29,GM01,Baden-Württemberg State,13
127,2020-02-29,GM02,Free State of Bavaria,3
128,2020-02-29,GM03,Free Hanseatic City of Bremen,0
129,2020-02-29,GM04,Free Hanseatic City of Hamburg,0
130,2020-02-29,GM05,Hesse State,3
131,2020-02-29,GM06,Lower Saxony State,0
132,2020-02-29,GM07,North Rhine-Westphalia State,30
133,2020-02-29,GM08,Rhineland-Palatinate State,1
134,2020-02-29,GM09,Saarland State,0
135,2020-02-29,GM10,Schleswig-Holstein State,1
136,2020-02-29,GM11,Brandenburg State,0
137,2020-02-29,GM12,Mecklenburg-Western Pomerania State,0
138,2020-02-29,GM13,Free State of Saxony,0
139,2020-02-29,GM14,Sachsen-Anhalt State,0
140,2020-02-29,GM15,Free State of Thuringia,0
141,2020-02-29,GM16,Berlin State,0
142,2020-03-01,GM,Germany,103
143,2020-03-01,GM01,Baden-Württemberg State,14
144,2020-03-01,GM02,Free State of Bavaria,6
145,2020-03-01,GM03,Free Hanseatic City of Bremen,1
146,2020-03-01,GM04,Free Hanseatic City of Hamburg,1
147,2020-03-01,GM05,Hesse State,8
148,2020-03-01,GM06,Lower Saxony State,1
149,2020-03-01,GM07,North Rhine-Westphalia State,66
150,2020-03-01,GM08,Rhineland-Palatinate State,2
151,2020-03-01,GM09,Saarland State,0
152,2020-03-01,GM10,Schleswig-Holstein State,2
153,2020-03-01,GM11,Brandenburg State,0
154,2020-03-01,GM12,Mecklenburg-Western Pomerania State,0
155,2020-03-01,GM13,Free State of Saxony,0
156,2020-03-01,GM14,Sachsen-Anhalt State,0
157,2020-03-01,GM15,Free State of Thuringia,0
158,2020-03-01,GM16,Berlin State,0
159,2020-03-02,GM,Germany,136
160,2020-03-02,GM01,Baden-Württemberg State,18
161,2020-03-02,GM02,Free State of Bavaria,12
162,2020-03-02,GM03,Free Hanseatic City of Bremen,1
163,2020-03-02,GM04,Free Hanseatic City of Hamburg,1
164,2020-03-02,GM05,Hesse State,9
165,2020-03-02,GM06,Lower Saxony State,1
166,2020-03-02,GM07,North Rhine-Westphalia State,86
167,2020-03-02,GM08,Rhineland-Palatinate State,2
168,2020-03-02,GM09,Saarland State,0
169,2020-03-02,GM10,Schleswig-Holstein State,2
170,2020-03-02,GM11,Brandenburg State,0
171,2020-03-02,GM12,Mecklenburg-Western Pomerania State,0
172,2020-03-02,GM13,Free State of Saxony,0
173,2020-03-02,GM14,Sachsen-Anhalt State,0
174,2020-03-02,GM15,Free State of Thuringia,0
175,2020-03-02,GM16,Berlin State,1
176,2020-03-03,GM,Germany,174
177,2020-03-03,GM01,Baden-Württemberg State,25
178,2020-03-03,GM02,Free State of Bavaria,22
179,2020-03-03,GM03,Free Hanseatic City of Bremen,1
180,2020-03-03,GM04,Free Hanseatic City of Hamburg,2
181,2020-03-03,GM05,Hesse State,9
182,2020-03-03,GM06,Lower Saxony State,1
183,2020-03-03,GM07,North Rhine-Westphalia State,101
184,2020-03-03,GM08,Rhineland-Palatinate State,2
185,2020-03-03,GM09,Saarland State,0
186,2020-03-03,GM10,Schleswig-Holstein State,2
187,2020-03-03,GM11,Brandenburg State,1
188,2020-03-03,GM12,Mecklenburg-Western Pomerania State,0
189,2020-03-03,GM13,Free State of Saxony,1
190,2020-03-03,GM14,Sachsen-Anhalt State,0
191,2020-03-03,GM15,Free State of Thuringia,1
192,2020-03-03,GM16,Berlin State,3
193,2020-03-04,GM,Germany,249
194,2020-03-04,GM01,Baden-Württemberg State,49
195,2020-03-04,GM02,Free State of Bavaria,34
196,2020-03-04,GM03,Free Hanseatic City of Bremen,3
197,2020-03-04,GM04,Free Hanseatic City of Hamburg,3
198,2020-03-04,GM05,Hesse State,11
199,2020-03-04,GM06,Lower Saxony State,7
200,2020-03-04,GM07,North Rhine-Westphalia State,115
201,2020-03-04,GM08,Rhineland-Palatinate State,7
202,2020-03-04,GM09,Saarland State,1
203,2020-03-04,GM10,Schleswig-Holstein State,2
204,2020-03-04,GM11,Brandenburg State,1
205,2020-03-04,GM12,Mecklenburg-Western Pomerania State,4
206,2020-03-04,GM13,Free State of Saxony,1
207,2020-03-04,GM15,Free State of Thuringia,1
208,2020-03-04,GM16,Berlin State,7
209,2020-03-05,GM,Germany,387
210,2020-03-05,GM01,Baden-Württemberg State,72
211,2020-03-05,GM02,Free State of Bavaria,56
212,2020-03-05,GM03,Free Hanseatic City of Bremen,3
213,2020-03-05,GM04,Free Hanseatic City of Hamburg,5
214,2020-03-05,GM05,Hesse State,13
215,2020-03-05,GM06,Lower Saxony State,18
216,2020-03-05,GM07,North Rhine-Westphalia State,181
217,2020-03-05,GM08,Rhineland-Palatinate State,8
218,2020-03-05,GM09,Saarland State,1
219,2020-03-05,GM10,Schleswig-Holstein State,7
220,2020-03-05,GM11,Brandenburg State,1
221,2020-03-05,GM12,Mecklenburg-Western Pomerania State,4
222,2020-03-05,GM13,Free State of Saxony,1
223,2020-03-05,GM15,Free State of Thuringia,1
224,2020-03-05,GM16,Berlin State,12
225,2020-03-06,GM,Germany,626
226,2020-03-06,GM01,Baden-Württemberg State,95
227,2020-03-06,GM02,Free State of Bavaria,103
228,2020-03-06,GM03,Free Hanseatic City of Bremen,3
229,2020-03-06,GM04,Free Hanseatic City of Hamburg,11
230,2020-03-06,GM05,Hesse State,15
231,2020-03-06,GM06,Lower Saxony State,18
232,2020-03-06,GM07,North Rhine-Westphalia State,329
233,2020-03-06,GM08,Rhineland-Palatinate State,9
234,2020-03-06,GM09,Saarland State,2
235,2020-03-06,GM10,Schleswig-Holstein State,7
236,2020-03-06,GM11,Brandenburg State,2
237,2020-03-06,GM12,Mecklenburg-Western Pomerania State,4
238,2020-03-06,GM13,Free State of Saxony,2
239,2020-03-06,GM15,Free State of Thuringia,1
240,2020-03-06,GM16,Berlin State,18
241,2020-03-07,GM,Germany,781
242,2020-03-07,GM01,Baden-Württemberg State,167
243,2020-03-07,GM02,Free State of Bavaria,120
244,2020-03-07,GM03,Free Hanseatic City of Bremen,3
245,2020-03-07,GM04,Free Hanseatic City of Hamburg,12
246,2020-03-07,GM05,Hesse State,15
247,2020-03-07,GM06,Lower Saxony State,18
248,2020-03-07,GM07,North Rhine-Westphalia State,373
249,2020-03-07,GM08,Rhineland-Palatinate State,12
250,2020-03-07,GM09,Saarland State,3
251,2020-03-07,GM10,Schleswig-Holstein State,8
252,2020-03-07,GM11,Brandenburg State,2
253,2020-03-07,GM12,Mecklenburg-Western Pomerania State,4
254,2020-03-07,GM13,Free State of Saxony,4
255,2020-03-07,GM15,Free State of Thuringia,2
256,2020-03-07,GM16,Berlin State,27
257,2020-03-08,GM,Germany,888
258,2020-03-08,GM01,Baden-Württemberg State,179
259,2020-03-08,GM02,Free State of Bavaria,157
260,2020-03-08,GM03,Free Hanseatic City of Bremen,3
261,2020-03-08,GM04,Free Hanseatic City of Hamburg,12
262,2020-03-08,GM05,Hesse State,17
263,2020-03-08,GM06,Lower Saxony State,20
264,2020-03-08,GM07,North Rhine-Westphalia State,398
265,2020-03-08,GM08,Rhineland-Palatinate State,18
266,2020-03-08,GM09,Saarland State,9
267,2020-03-08,GM10,Schleswig-Holstein State,8
268,2020-03-08,GM11,Brandenburg State,3
269,2020-03-08,GM12,Mecklenburg-Western Pomerania State,7
270,2020-03-08,GM13,Free State of Saxony,4
271,2020-03-08,GM15,Free State of Thuringia,2
272,2020-03-08,GM16,Berlin State,39
273,2020-03-09,GM,Germany,1125
274,2020-03-09,GM01,Baden-Württemberg State,200
275,2020-03-09,GM02,Free State of Bavaria,241
276,2020-03-09,GM03,Free Hanseatic City of Bremen,3
277,2020-03-09,GM04,Free Hanseatic City of Hamburg,15
278,2020-03-09,GM05,Hesse State,23
279,2020-03-09,GM06,Lower Saxony State,37
280,2020-03-09,GM07,North Rhine-Westphalia State,483
281,2020-03-09,GM08,Rhineland-Palatinate State,18
282,2020-03-09,GM09,Saarland State,9
283,2020-03-09,GM10,Schleswig-Holstein State,10
284,2020-03-09,GM11,Brandenburg State,5
285,2020-03-09,GM12,Mecklenburg-Western Pomerania State,8
286,2020-03-09,GM13,Free State of Saxony,12
287,2020-03-09,GM15,Free State of Thuringia,2
288,2020-03-09,GM16,Berlin State,47
289,2020-03-10,GM,Germany,1281
290,2020-03-10,GM01,Baden-Württemberg State,233
291,2020-03-10,GM02,Free State of Bavaria,298
292,2020-03-10,GM03,Free Hanseatic City of Bremen,3
293,2020-03-10,GM04,Free Hanseatic City of Hamburg,26
294,2020-03-10,GM05,Hesse State,31
295,2020-03-10,GM06,Lower Saxony State,48
296,2020-03-10,GM07,North Rhine-Westphalia State,483
297,2020-03-10,GM08,Rhineland-Palatinate State,26
298,2020-03-10,GM09,Saarland State,9
299,2020-03-10,GM10,Schleswig-Holstein State,10
300,2020-03-10,GM11,Brandenburg State,7
301,2020-03-10,GM12,Mecklenburg-Western Pomerania State,11
302,2020-03-10,GM13,Free State of Saxony,22
303,2020-03-10,GM14,Sachsen-Anhalt State,7
304,2020-03-10,GM15,Free State of Thuringia,4
305,2020-03-10,GM16,Berlin State,47
306,2020-03-11,GM,Germany,1553
307,2020-03-11,GM01,Baden-Württemberg State,273
308,2020-03-11,GM02,Free State of Bavaria,350
309,2020-03-11,GM03,Free Hanseatic City of Bremen,20
310,2020-03-11,GM04,Free Hanseatic City of Hamburg,46
311,2020-03-11,GM05,Hesse State,44
312,2020-03-11,GM06,Lower Saxony State,73
313,2020-03-11,GM07,North Rhine-Westphalia State,483
314,2020-03-11,GM08,Rhineland-Palatinate State,26
315,2020-03-11,GM09,Saarland State,16
316,2020-03-11,GM10,Schleswig-Holstein State,28
317,2020-03-11,GM11,Brandenburg State,22
318,2020-03-11,GM12,Mecklenburg-Western Pomerania State,14
319,2020-03-11,GM13,Free State of Saxony,25
320,2020-03-11,GM14,Sachsen-Anhalt State,15
321,2020-03-11,GM15,Free State of Thuringia,9
322,2020-03-11,GM16,Berlin State,89
323,2020-03-12,GM,Germany,2355
324,2020-03-12,GM01,Baden-Württemberg State,448
325,2020-03-12,GM02,Free State of Bavaria,484
326,2020-03-12,GM03,Free Hanseatic City of Bremen,37
