"location","type","quantile","target_end_date","target","value","forecast_date"
"GM","quantile",0.55,"2021-06-12","3 wk ahead inc death",871.573717362611,"2021-05-24"
"GM","quantile",0.6,"2021-06-12","3 wk ahead inc death",895.326001684567,"2021-05-24"
"GM","quantile",0.65,"2021-06-12","3 wk ahead inc death",920.447251733451,"2021-05-24"
"GM","quantile",0.7,"2021-06-12","3 wk ahead inc death",948.111953969458,"2021-05-24"
"GM","quantile",0.75,"2021-06-12","3 wk ahead inc death",978.214729727887,"2021-05-24"
"GM","quantile",0.8,"2021-06-12","3 wk ahead inc death",1014.10900828071,"2021-05-24"
"GM","quantile",0.85,"2021-06-12","3 wk ahead inc death",1057.23830228942,"2021-05-24"
"GM","quantile",0.9,"2021-06-12","3 wk ahead inc death",1117.123361214,"2021-05-24"
"GM","quantile",0.95,"2021-06-12","3 wk ahead inc death",1211.32870201295,"2021-05-24"
"GM","quantile",0.975,"2021-06-12","3 wk ahead inc death",1304.18294738132,"2021-05-24"
"GM","quantile",0.99,"2021-06-12","3 wk ahead inc death",1413.66683111116,"2021-05-24"
"GM","quantile",0.01,"2021-06-19","4 wk ahead inc death",410.258431625245,"2021-05-24"
"GM","quantile",0.025,"2021-06-19","4 wk ahead inc death",451.888888222994,"2021-05-24"
"GM","quantile",0.05,"2021-06-19","4 wk ahead inc death",489.117803138593,"2021-05-24"
"GM","quantile",0.1,"2021-06-19","4 wk ahead inc death",536.980122917965,"2021-05-24"
"GM","quantile",0.15,"2021-06-19","4 wk ahead inc death",571.503269823207,"2021-05-24"
"GM","quantile",0.2,"2021-06-19","4 wk ahead inc death",602.271182292726,"2021-05-24"
"GM","quantile",0.25,"2021-06-19","4 wk ahead inc death",629.289411455369,"2021-05-24"
"GM","quantile",0.3,"2021-06-19","4 wk ahead inc death",654.44878501233,"2021-05-24"
"GM","quantile",0.35,"2021-06-19","4 wk ahead inc death",679.200957937334,"2021-05-24"
"GM","quantile",0.4,"2021-06-19","4 wk ahead inc death",703.196688707494,"2021-05-24"
"GM","quantile",0.45,"2021-06-19","4 wk ahead inc death",728.151915464217,"2021-05-24"
"GM","quantile",0.5,"2021-06-19","4 wk ahead inc death",752.44,"2021-05-24"
"GM","quantile",0.55,"2021-06-19","4 wk ahead inc death",777.903207289169,"2021-05-24"
"GM","quantile",0.6,"2021-06-19","4 wk ahead inc death",804.196691272841,"2021-05-24"
"GM","quantile",0.65,"2021-06-19","4 wk ahead inc death",833.301173907126,"2021-05-24"
"GM","quantile",0.7,"2021-06-19","4 wk ahead inc death",864.945672439594,"2021-05-24"
"GM","quantile",0.75,"2021-06-19","4 wk ahead inc death",901.407248753332,"2021-05-24"
"GM","quantile",0.8,"2021-06-19","4 wk ahead inc death",944.672408258387,"2021-05-24"
"GM","quantile",0.85,"2021-06-19","4 wk ahead inc death",996.450739387006,"2021-05-24"
"GM","quantile",0.9,"2021-06-19","4 wk ahead inc death",1064.07212914908,"2021-05-24"
"GM","quantile",0.95,"2021-06-19","4 wk ahead inc death",1180.52275195338,"2021-05-24"
"GM","quantile",0.975,"2021-06-19","4 wk ahead inc death",1288.79005909678,"2021-05-24"
"GM","quantile",0.99,"2021-06-19","4 wk ahead inc death",1451.07433101581,"2021-05-24"
"GM","point",NA,"2021-05-29","1 wk ahead inc death",1107.205,"2021-05-24"
"GM","point",NA,"2021-06-05","2 wk ahead inc death",967.528333333333,"2021-05-24"
"GM","point",NA,"2021-06-12","3 wk ahead inc death",848.303333333333,"2021-05-24"
"GM","point",NA,"2021-06-19","4 wk ahead inc death",752.44,"2021-05-24"
