"location","type","quantile","target_end_date","forecast_date","target","value"
"GM","quantile",0.01,"2021-05-08","2021-05-03","1 wk ahead inc case",90694.9168282764
"GM","quantile",0.025,"2021-05-08","2021-05-03","1 wk ahead inc case",94857.382156622
"GM","quantile",0.05,"2021-05-08","2021-05-03","1 wk ahead inc case",98155.330720593
"GM","quantile",0.1,"2021-05-08","2021-05-03","1 wk ahead inc case",102119.111011924
"GM","quantile",0.15,"2021-05-08","2021-05-03","1 wk ahead inc case",105095.978018928
"GM","quantile",0.2,"2021-05-08","2021-05-03","1 wk ahead inc case",107517.551408783
"GM","quantile",0.25,"2021-05-08","2021-05-03","1 wk ahead inc case",109736.446873055
"GM","quantile",0.3,"2021-05-08","2021-05-03","1 wk ahead inc case",111833.042595364
"GM","quantile",0.35,"2021-05-08","2021-05-03","1 wk ahead inc case",113641.123972519
"GM","quantile",0.4,"2021-05-08","2021-05-03","1 wk ahead inc case",115565.689762509
"GM","quantile",0.45,"2021-05-08","2021-05-03","1 wk ahead inc case",117418.032344821
"GM","quantile",0.5,"2021-05-08","2021-05-03","1 wk ahead inc case",119233.983333333
"GM","quantile",0.55,"2021-05-08","2021-05-03","1 wk ahead inc case",121053.997125042
"GM","quantile",0.6,"2021-05-08","2021-05-03","1 wk ahead inc case",122870.191357395
"GM","quantile",0.65,"2021-05-08","2021-05-03","1 wk ahead inc case",124706.065019851
"GM","quantile",0.7,"2021-05-08","2021-05-03","1 wk ahead inc case",127037.261016681
"GM","quantile",0.75,"2021-05-08","2021-05-03","1 wk ahead inc case",129434.087686333
"GM","quantile",0.8,"2021-05-08","2021-05-03","1 wk ahead inc case",132286.310593351
"GM","quantile",0.85,"2021-05-08","2021-05-03","1 wk ahead inc case",135270.996416447
"GM","quantile",0.9,"2021-05-08","2021-05-03","1 wk ahead inc case",139081.716299242
"GM","quantile",0.95,"2021-05-08","2021-05-03","1 wk ahead inc case",145449.942691979
"GM","quantile",0.975,"2021-05-08","2021-05-03","1 wk ahead inc case",151286.949145942
"GM","quantile",0.99,"2021-05-08","2021-05-03","1 wk ahead inc case",157219.550117588
"GM","quantile",0.01,"2021-05-15","2021-05-03","2 wk ahead inc case",77502.7149263344
"GM","quantile",0.025,"2021-05-15","2021-05-03","2 wk ahead inc case",81645.0806654605
