"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.01,111694.049835364,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.025,117542.966810741,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.05,122819.2088708,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.1,129198.739719572,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.15,133690.249258835,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.2,137371.709631978,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.25,140611.232875176,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.3,143585.857133874,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.35,146398.759070101,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.4,149119.159156581,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.45,151799.559542219,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.5,154484.77,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.55,157217.753341921,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.6,160044.578950317,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.65,163020.062219871,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.7,166216.006193076,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.75,169735.665421545,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.8,173743.254498274,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.85,178534.865092573,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.9,184753.084832613,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.95,194372.392720304,"2021-04-19"
"1 wk ahead inc case","2021-04-24","GM","quantile",0.975,203122.769533842,"2021-04-19"
