"location","type","quantile","target_end_date","target","value","forecast_date"
"PL","quantile",0.55,"2021-07-10","3 wk ahead inc death",84.6308393883815,"2021-06-21"
"PL","quantile",0.6,"2021-07-10","3 wk ahead inc death",87.7179138519585,"2021-06-21"
"PL","quantile",0.65,"2021-07-10","3 wk ahead inc death",91.004218477306,"2021-06-21"
"PL","quantile",0.7,"2021-07-10","3 wk ahead inc death",95.06948883238,"2021-06-21"
"PL","quantile",0.75,"2021-07-10","3 wk ahead inc death",99.0325842794095,"2021-06-21"
"PL","quantile",0.8,"2021-07-10","3 wk ahead inc death",104.087848077786,"2021-06-21"
"PL","quantile",0.85,"2021-07-10","3 wk ahead inc death",110.094065965817,"2021-06-21"
"PL","quantile",0.9,"2021-07-10","3 wk ahead inc death",118.348552701366,"2021-06-21"
"PL","quantile",0.95,"2021-07-10","3 wk ahead inc death",132.376544879562,"2021-06-21"
"PL","quantile",0.975,"2021-07-10","3 wk ahead inc death",145.538583764072,"2021-06-21"
"PL","quantile",0.99,"2021-07-10","3 wk ahead inc death",162.827908206989,"2021-06-21"
"PL","quantile",0.01,"2021-07-17","4 wk ahead inc death",24.6670484440357,"2021-06-21"
"PL","quantile",0.025,"2021-07-17","4 wk ahead inc death",28.1191873974117,"2021-06-21"
"PL","quantile",0.05,"2021-07-17","4 wk ahead inc death",31.5233412684829,"2021-06-21"
"PL","quantile",0.1,"2021-07-17","4 wk ahead inc death",36.8590497219603,"2021-06-21"
"PL","quantile",0.15,"2021-07-17","4 wk ahead inc death",40.2804550696756,"2021-06-21"
"PL","quantile",0.2,"2021-07-17","4 wk ahead inc death",43.8154678397134,"2021-06-21"
"PL","quantile",0.25,"2021-07-17","4 wk ahead inc death",46.6533972094191,"2021-06-21"
"PL","quantile",0.3,"2021-07-17","4 wk ahead inc death",49.3903687583044,"2021-06-21"
"PL","quantile",0.35,"2021-07-17","4 wk ahead inc death",52.0866272011769,"2021-06-21"
"PL","quantile",0.4,"2021-07-17","4 wk ahead inc death",54.7867287417883,"2021-06-21"
"PL","quantile",0.45,"2021-07-17","4 wk ahead inc death",57.5287998123379,"2021-06-21"
"PL","quantile",0.5,"2021-07-17","4 wk ahead inc death",60.35,"2021-06-21"
"PL","quantile",0.55,"2021-07-17","4 wk ahead inc death",63.2908562818431,"2021-06-21"
"PL","quantile",0.6,"2021-07-17","4 wk ahead inc death",66.399951244936,"2021-06-21"
"PL","quantile",0.65,"2021-07-17","4 wk ahead inc death",69.7404241152365,"2021-06-21"
"PL","quantile",0.7,"2021-07-17","4 wk ahead inc death",73.400650280678,"2021-06-21"
"PL","quantile",0.75,"2021-07-17","4 wk ahead inc death",77.514158365618,"2021-06-21"
"PL","quantile",0.8,"2021-07-17","4 wk ahead inc death",82.3016850935575,"2021-06-21"
"PL","quantile",0.85,"2021-07-17","4 wk ahead inc death",88.6748683804635,"2021-06-21"
"PL","quantile",0.9,"2021-07-17","4 wk ahead inc death",96.558449489013,"2021-06-21"
"PL","quantile",0.95,"2021-07-17","4 wk ahead inc death",110.449022340766,"2021-06-21"
"PL","quantile",0.975,"2021-07-17","4 wk ahead inc death",125.205216055828,"2021-06-21"
"PL","quantile",0.99,"2021-07-17","4 wk ahead inc death",143.57372981705,"2021-06-21"
"PL","point",NA,"2021-06-26","1 wk ahead inc death",155.735,"2021-06-21"
"PL","point",NA,"2021-07-03","2 wk ahead inc death",109.65,"2021-06-21"
"PL","point",NA,"2021-07-10","3 wk ahead inc death",81.685,"2021-06-21"
"PL","point",NA,"2021-07-17","4 wk ahead inc death",60.35,"2021-06-21"
