"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1749,"2021-11-27","2021-11-22"
"GM","1 wk ahead inc death","quantile",0.025,516,"2021-11-27","2021-11-22"
"GM","1 wk ahead inc death","quantile",0.25,1346,"2021-11-27","2021-11-22"
"GM","1 wk ahead inc death","quantile",0.75,2223,"2021-11-27","2021-11-22"
"GM","1 wk ahead inc death","quantile",0.975,6377,"2021-11-27","2021-11-22"
"GM","2 wk ahead inc death","point",NA,2041,"2021-12-04","2021-11-22"
"GM","2 wk ahead inc death","quantile",0.025,169,"2021-12-04","2021-11-22"
"GM","2 wk ahead inc death","quantile",0.25,1137,"2021-12-04","2021-11-22"
"GM","2 wk ahead inc death","quantile",0.75,3020,"2021-12-04","2021-11-22"
"GM","2 wk ahead inc death","quantile",0.975,15824,"2021-12-04","2021-11-22"
