"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,67995,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc case","quantile",0.025,20059,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc case","quantile",0.25,52356,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc case","quantile",0.75,86422,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc case","quantile",0.975,247979,"2021-10-23","2021-10-18"
"GM","2 wk ahead inc case","point",NA,72600,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc case","quantile",0.025,6026,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc case","quantile",0.25,40438,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc case","quantile",0.75,107448,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc case","quantile",0.975,562942,"2021-10-30","2021-10-18"
