"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,2402,"2022-05-21","2022-05-16"
"PL","1 wk ahead inc case","quantile",0.025,709,"2022-05-21","2022-05-16"
"PL","1 wk ahead inc case","quantile",0.25,1850,"2022-05-21","2022-05-16"
"PL","1 wk ahead inc case","quantile",0.75,3054,"2022-05-21","2022-05-16"
"PL","1 wk ahead inc case","quantile",0.975,8762,"2022-05-21","2022-05-16"
"PL","2 wk ahead inc case","point",NA,1864,"2022-05-28","2022-05-16"
"PL","2 wk ahead inc case","quantile",0.025,155,"2022-05-28","2022-05-16"
"PL","2 wk ahead inc case","quantile",0.25,1038,"2022-05-28","2022-05-16"
"PL","2 wk ahead inc case","quantile",0.75,2759,"2022-05-28","2022-05-16"
"PL","2 wk ahead inc case","quantile",0.975,14453,"2022-05-28","2022-05-16"
