"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1457,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc death","quantile",0.025,430,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc death","quantile",0.25,1122,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc death","quantile",0.75,1852,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc death","quantile",0.975,5315,"2022-02-19","2022-02-14"
"GM","2 wk ahead inc death","point",NA,1658,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc death","quantile",0.025,138,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc death","quantile",0.25,923,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc death","quantile",0.75,2454,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc death","quantile",0.975,12855,"2022-02-26","2022-02-14"
