"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,6724,"2021-05-29","2021-05-24"
"PL","1 wk ahead inc case","quantile",0.025,1984,"2021-05-29","2021-05-24"
"PL","1 wk ahead inc case","quantile",0.25,5177,"2021-05-29","2021-05-24"
"PL","1 wk ahead inc case","quantile",0.75,8546,"2021-05-29","2021-05-24"
"PL","1 wk ahead inc case","quantile",0.975,24522,"2021-05-29","2021-05-24"
"PL","2 wk ahead inc case","point",NA,3372,"2021-06-05","2021-05-24"
"PL","2 wk ahead inc case","quantile",0.025,280,"2021-06-05","2021-05-24"
"PL","2 wk ahead inc case","quantile",0.25,1878,"2021-06-05","2021-05-24"
"PL","2 wk ahead inc case","quantile",0.75,4990,"2021-06-05","2021-05-24"
"PL","2 wk ahead inc case","quantile",0.975,26144,"2021-06-05","2021-05-24"
