"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,127,"2021-07-17","2021-07-12"
"GM","1 wk ahead inc death","quantile",0.025,38,"2021-07-17","2021-07-12"
"GM","1 wk ahead inc death","quantile",0.25,98,"2021-07-17","2021-07-12"
"GM","1 wk ahead inc death","quantile",0.75,162,"2021-07-17","2021-07-12"
"GM","1 wk ahead inc death","quantile",0.975,465,"2021-07-17","2021-07-12"
"GM","2 wk ahead inc death","point",NA,92,"2021-07-24","2021-07-12"
"GM","2 wk ahead inc death","quantile",0.025,8,"2021-07-24","2021-07-12"
"GM","2 wk ahead inc death","quantile",0.25,51,"2021-07-24","2021-07-12"
"GM","2 wk ahead inc death","quantile",0.75,137,"2021-07-24","2021-07-12"
"GM","2 wk ahead inc death","quantile",0.975,715,"2021-07-24","2021-07-12"
