"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,408218,"2022-01-15","2022-01-10"
"GM","1 wk ahead inc case","quantile",0.025,120424,"2022-01-15","2022-01-10"
"GM","1 wk ahead inc case","quantile",0.25,314328,"2022-01-15","2022-01-10"
"GM","1 wk ahead inc case","quantile",0.75,518845,"2022-01-15","2022-01-10"
"GM","1 wk ahead inc case","quantile",0.975,1488772,"2022-01-15","2022-01-10"
"GM","2 wk ahead inc case","point",NA,497458,"2022-01-22","2022-01-10"
"GM","2 wk ahead inc case","quantile",0.025,41289,"2022-01-22","2022-01-10"
"GM","2 wk ahead inc case","quantile",0.25,277084,"2022-01-22","2022-01-10"
"GM","2 wk ahead inc case","quantile",0.75,736238,"2022-01-22","2022-01-10"
"GM","2 wk ahead inc case","quantile",0.975,3857292,"2022-01-22","2022-01-10"
