"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,3600,"2021-07-10","2021-07-05"
"GM","1 wk ahead inc case","quantile",0.025,1062,"2021-07-10","2021-07-05"
"GM","1 wk ahead inc case","quantile",0.25,2772,"2021-07-10","2021-07-05"
"GM","1 wk ahead inc case","quantile",0.75,4576,"2021-07-10","2021-07-05"
"GM","1 wk ahead inc case","quantile",0.975,13131,"2021-07-10","2021-07-05"
"GM","2 wk ahead inc case","point",NA,3302,"2021-07-17","2021-07-05"
"GM","2 wk ahead inc case","quantile",0.025,274,"2021-07-17","2021-07-05"
"GM","2 wk ahead inc case","quantile",0.25,1839,"2021-07-17","2021-07-05"
"GM","2 wk ahead inc case","quantile",0.75,4887,"2021-07-17","2021-07-05"
"GM","2 wk ahead inc case","quantile",0.975,25605,"2021-07-17","2021-07-05"
