"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,292216,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc case","quantile",0.025,86204,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc case","quantile",0.25,225007,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc case","quantile",0.75,371407,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc case","quantile",0.975,1065713,"2021-12-18","2021-12-13"
"GM","2 wk ahead inc case","point",NA,245684,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc case","quantile",0.025,20392,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc case","quantile",0.25,136846,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc case","quantile",0.75,363612,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc case","quantile",0.975,1905033,"2021-12-25","2021-12-13"
