"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,68,"2021-07-24","2021-07-19"
"GM","1 wk ahead inc death","quantile",0.025,20,"2021-07-24","2021-07-19"
"GM","1 wk ahead inc death","quantile",0.25,53,"2021-07-24","2021-07-19"
"GM","1 wk ahead inc death","quantile",0.75,87,"2021-07-24","2021-07-19"
"GM","1 wk ahead inc death","quantile",0.975,250,"2021-07-24","2021-07-19"
"GM","2 wk ahead inc death","point",NA,38,"2021-07-31","2021-07-19"
"GM","2 wk ahead inc death","quantile",0.025,3,"2021-07-31","2021-07-19"
"GM","2 wk ahead inc death","quantile",0.25,21,"2021-07-31","2021-07-19"
"GM","2 wk ahead inc death","quantile",0.75,56,"2021-07-31","2021-07-19"
"GM","2 wk ahead inc death","quantile",0.975,292,"2021-07-31","2021-07-19"
