"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1314,"2022-03-05","2022-02-28"
"GM","1 wk ahead inc death","quantile",0.025,388,"2022-03-05","2022-02-28"
"GM","1 wk ahead inc death","quantile",0.25,1012,"2022-03-05","2022-02-28"
"GM","1 wk ahead inc death","quantile",0.75,1671,"2022-03-05","2022-02-28"
"GM","1 wk ahead inc death","quantile",0.975,4793,"2022-03-05","2022-02-28"
"GM","2 wk ahead inc death","point",NA,1267,"2022-03-12","2022-02-28"
"GM","2 wk ahead inc death","quantile",0.025,105,"2022-03-12","2022-02-28"
"GM","2 wk ahead inc death","quantile",0.25,706,"2022-03-12","2022-02-28"
"GM","2 wk ahead inc death","quantile",0.75,1876,"2022-03-12","2022-02-28"
"GM","2 wk ahead inc death","quantile",0.975,9827,"2022-03-12","2022-02-28"
