"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,7,"2022-06-25","2022-06-20"
"PL","1 wk ahead inc death","quantile",0.025,2,"2022-06-25","2022-06-20"
"PL","1 wk ahead inc death","quantile",0.25,5,"2022-06-25","2022-06-20"
"PL","1 wk ahead inc death","quantile",0.75,9,"2022-06-25","2022-06-20"
"PL","1 wk ahead inc death","quantile",0.975,25,"2022-06-25","2022-06-20"
"PL","2 wk ahead inc death","point",NA,4,"2022-07-02","2022-06-20"
"PL","2 wk ahead inc death","quantile",0.025,0,"2022-07-02","2022-06-20"
"PL","2 wk ahead inc death","quantile",0.25,2,"2022-07-02","2022-06-20"
"PL","2 wk ahead inc death","quantile",0.75,5,"2022-07-02","2022-06-20"
"PL","2 wk ahead inc death","quantile",0.975,28,"2022-07-02","2022-06-20"
