"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,2,"2022-05-28","2022-05-23"
"PL","1 wk ahead inc death","quantile",0.025,1,"2022-05-28","2022-05-23"
"PL","1 wk ahead inc death","quantile",0.25,1,"2022-05-28","2022-05-23"
"PL","1 wk ahead inc death","quantile",0.75,2,"2022-05-28","2022-05-23"
"PL","1 wk ahead inc death","quantile",0.975,6,"2022-05-28","2022-05-23"
"PL","2 wk ahead inc death","point",NA,0,"2022-06-04","2022-05-23"
"PL","2 wk ahead inc death","quantile",0.025,0,"2022-06-04","2022-05-23"
"PL","2 wk ahead inc death","quantile",0.25,0,"2022-06-04","2022-05-23"
"PL","2 wk ahead inc death","quantile",0.75,0,"2022-06-04","2022-05-23"
"PL","2 wk ahead inc death","quantile",0.975,2,"2022-06-04","2022-05-23"
