"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,1032532,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc case","quantile",0.025,304597,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc case","quantile",0.25,795049,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc case","quantile",0.75,1312348,"2022-02-19","2022-02-14"
"GM","1 wk ahead inc case","quantile",0.975,3765642,"2022-02-19","2022-02-14"
"GM","2 wk ahead inc case","point",NA,692465,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc case","quantile",0.025,57475,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc case","quantile",0.25,385703,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc case","quantile",0.75,1024848,"2022-02-26","2022-02-14"
"GM","2 wk ahead inc case","quantile",0.975,5369371,"2022-02-26","2022-02-14"
