"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,3,"2022-08-20","2022-08-15"
"PL","1 wk ahead inc death","quantile",0.025,1,"2022-08-20","2022-08-15"
"PL","1 wk ahead inc death","quantile",0.25,2,"2022-08-20","2022-08-15"
"PL","1 wk ahead inc death","quantile",0.75,4,"2022-08-20","2022-08-15"
"PL","1 wk ahead inc death","quantile",0.975,11,"2022-08-20","2022-08-15"
"PL","2 wk ahead inc death","point",NA,0,"2022-08-27","2022-08-15"
"PL","2 wk ahead inc death","quantile",0.025,0,"2022-08-27","2022-08-15"
"PL","2 wk ahead inc death","quantile",0.25,0,"2022-08-27","2022-08-15"
"PL","2 wk ahead inc death","quantile",0.75,1,"2022-08-27","2022-08-15"
"PL","2 wk ahead inc death","quantile",0.975,3,"2022-08-27","2022-08-15"
