"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,2957,"2021-12-18","2021-12-13"
"PL","1 wk ahead inc death","quantile",0.025,872,"2021-12-18","2021-12-13"
"PL","1 wk ahead inc death","quantile",0.25,2277,"2021-12-18","2021-12-13"
"PL","1 wk ahead inc death","quantile",0.75,3759,"2021-12-18","2021-12-13"
"PL","1 wk ahead inc death","quantile",0.975,10786,"2021-12-18","2021-12-13"
"PL","2 wk ahead inc death","point",NA,3073,"2021-12-25","2021-12-13"
"PL","2 wk ahead inc death","quantile",0.025,255,"2021-12-25","2021-12-13"
"PL","2 wk ahead inc death","quantile",0.25,1712,"2021-12-25","2021-12-13"
"PL","2 wk ahead inc death","quantile",0.75,4548,"2021-12-25","2021-12-13"
"PL","2 wk ahead inc death","quantile",0.975,23827,"2021-12-25","2021-12-13"
