"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,1447103,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc case","quantile",0.025,426895,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc case","quantile",0.25,1114269,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc case","quantile",0.75,1839267,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc case","quantile",0.975,5277583,"2022-03-26","2022-03-21"
"GM","2 wk ahead inc case","point",NA,1205972,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc case","quantile",0.025,100096,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc case","quantile",0.25,671727,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc case","quantile",0.75,1784839,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc case","quantile",0.975,9351109,"2022-04-02","2022-03-21"
