"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,763,"2021-06-26","2021-06-21"
"PL","1 wk ahead inc case","quantile",0.025,225,"2021-06-26","2021-06-21"
"PL","1 wk ahead inc case","quantile",0.25,588,"2021-06-26","2021-06-21"
"PL","1 wk ahead inc case","quantile",0.75,970,"2021-06-26","2021-06-21"
"PL","1 wk ahead inc case","quantile",0.975,2783,"2021-06-26","2021-06-21"
"PL","2 wk ahead inc case","point",NA,406,"2021-07-03","2021-06-21"
"PL","2 wk ahead inc case","quantile",0.025,34,"2021-07-03","2021-06-21"
"PL","2 wk ahead inc case","quantile",0.25,226,"2021-07-03","2021-06-21"
"PL","2 wk ahead inc case","quantile",0.75,601,"2021-07-03","2021-06-21"
"PL","2 wk ahead inc case","quantile",0.975,3151,"2021-07-03","2021-06-21"
