"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,77017,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc case","quantile",0.025,22720,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc case","quantile",0.25,59303,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc case","quantile",0.75,97889,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc case","quantile",0.975,280881,"2022-03-05","2022-02-28"
"PL","2 wk ahead inc case","point",NA,51645,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc case","quantile",0.025,4286,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc case","quantile",0.25,28766,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc case","quantile",0.75,76434,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc case","quantile",0.975,400452,"2022-03-12","2022-02-28"
