"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,47991,"2021-10-02","2021-09-27"
"GM","1 wk ahead inc case","quantile",0.025,14157,"2021-10-02","2021-09-27"
"GM","1 wk ahead inc case","quantile",0.25,36953,"2021-10-02","2021-09-27"
"GM","1 wk ahead inc case","quantile",0.75,60996,"2021-10-02","2021-09-27"
"GM","1 wk ahead inc case","quantile",0.975,175022,"2021-10-02","2021-09-27"
"GM","2 wk ahead inc case","point",NA,41648,"2021-10-09","2021-09-27"
"GM","2 wk ahead inc case","quantile",0.025,3457,"2021-10-09","2021-09-27"
"GM","2 wk ahead inc case","quantile",0.25,23198,"2021-10-09","2021-09-27"
"GM","2 wk ahead inc case","quantile",0.75,61639,"2021-10-09","2021-09-27"
"GM","2 wk ahead inc case","quantile",0.975,322937,"2021-10-09","2021-09-27"
