"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1093,"2021-05-22","2021-05-17"
"GM","1 wk ahead inc death","quantile",0.025,322,"2021-05-22","2021-05-17"
"GM","1 wk ahead inc death","quantile",0.25,842,"2021-05-22","2021-05-17"
"GM","1 wk ahead inc death","quantile",0.75,1389,"2021-05-22","2021-05-17"
"GM","1 wk ahead inc death","quantile",0.975,3986,"2021-05-22","2021-05-17"
"GM","2 wk ahead inc death","point",NA,856,"2021-05-29","2021-05-17"
"GM","2 wk ahead inc death","quantile",0.025,71,"2021-05-29","2021-05-17"
"GM","2 wk ahead inc death","quantile",0.25,477,"2021-05-29","2021-05-17"
"GM","2 wk ahead inc death","quantile",0.75,1267,"2021-05-29","2021-05-17"
"GM","2 wk ahead inc death","quantile",0.975,6637,"2021-05-29","2021-05-17"
