"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,1085998,"2022-02-05","2022-01-31"
"GM","1 wk ahead inc case","quantile",0.025,320369,"2022-02-05","2022-01-31"
"GM","1 wk ahead inc case","quantile",0.25,836218,"2022-02-05","2022-01-31"
"GM","1 wk ahead inc case","quantile",0.75,1380303,"2022-02-05","2022-01-31"
"GM","1 wk ahead inc case","quantile",0.975,3960635,"2022-02-05","2022-01-31"
"GM","2 wk ahead inc case","point",NA,822967,"2022-02-12","2022-01-31"
"GM","2 wk ahead inc case","quantile",0.025,68306,"2022-02-12","2022-01-31"
"GM","2 wk ahead inc case","quantile",0.25,458393,"2022-02-12","2022-01-31"
"GM","2 wk ahead inc case","quantile",0.75,1217992,"2022-02-12","2022-01-31"
"GM","2 wk ahead inc case","quantile",0.975,6381289,"2022-02-12","2022-01-31"
