"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1204,"2022-01-22","2022-01-17"
"GM","1 wk ahead inc death","quantile",0.025,355,"2022-01-22","2022-01-17"
"GM","1 wk ahead inc death","quantile",0.25,927,"2022-01-22","2022-01-17"
"GM","1 wk ahead inc death","quantile",0.75,1531,"2022-01-22","2022-01-17"
"GM","1 wk ahead inc death","quantile",0.975,4392,"2022-01-22","2022-01-17"
"GM","2 wk ahead inc death","point",NA,949,"2022-01-29","2022-01-17"
"GM","2 wk ahead inc death","quantile",0.025,79,"2022-01-29","2022-01-17"
"GM","2 wk ahead inc death","quantile",0.25,529,"2022-01-29","2022-01-17"
"GM","2 wk ahead inc death","quantile",0.75,1405,"2022-01-29","2022-01-17"
"GM","2 wk ahead inc death","quantile",0.975,7360,"2022-01-29","2022-01-17"
