"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,230,"2021-10-30","2021-10-25"
"PL","1 wk ahead inc death","quantile",0.025,68,"2021-10-30","2021-10-25"
"PL","1 wk ahead inc death","quantile",0.25,177,"2021-10-30","2021-10-25"
"PL","1 wk ahead inc death","quantile",0.75,292,"2021-10-30","2021-10-25"
"PL","1 wk ahead inc death","quantile",0.975,838,"2021-10-30","2021-10-25"
"PL","2 wk ahead inc death","point",NA,216,"2021-11-06","2021-10-25"
"PL","2 wk ahead inc death","quantile",0.025,18,"2021-11-06","2021-10-25"
"PL","2 wk ahead inc death","quantile",0.25,120,"2021-11-06","2021-10-25"
"PL","2 wk ahead inc death","quantile",0.75,319,"2021-11-06","2021-10-25"
"PL","2 wk ahead inc death","quantile",0.975,1673,"2021-11-06","2021-10-25"
