"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,3707,"2021-06-26","2021-06-21"
"GM","1 wk ahead inc case","quantile",0.025,1094,"2021-06-26","2021-06-21"
"GM","1 wk ahead inc case","quantile",0.25,2855,"2021-06-26","2021-06-21"
"GM","1 wk ahead inc case","quantile",0.75,4712,"2021-06-26","2021-06-21"
"GM","1 wk ahead inc case","quantile",0.975,13521,"2021-06-26","2021-06-21"
"GM","2 wk ahead inc case","point",NA,1783,"2021-07-03","2021-06-21"
"GM","2 wk ahead inc case","quantile",0.025,148,"2021-07-03","2021-06-21"
"GM","2 wk ahead inc case","quantile",0.25,993,"2021-07-03","2021-06-21"
"GM","2 wk ahead inc case","quantile",0.75,2638,"2021-07-03","2021-06-21"
"GM","2 wk ahead inc case","quantile",0.975,13822,"2021-07-03","2021-06-21"
