"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1121,"2022-02-26","2022-02-21"
"GM","1 wk ahead inc death","quantile",0.025,331,"2022-02-26","2022-02-21"
"GM","1 wk ahead inc death","quantile",0.25,863,"2022-02-26","2022-02-21"
"GM","1 wk ahead inc death","quantile",0.75,1425,"2022-02-26","2022-02-21"
"GM","1 wk ahead inc death","quantile",0.975,4088,"2022-02-26","2022-02-21"
"GM","2 wk ahead inc death","point",NA,945,"2022-03-05","2022-02-21"
"GM","2 wk ahead inc death","quantile",0.025,78,"2022-03-05","2022-02-21"
"GM","2 wk ahead inc death","quantile",0.25,526,"2022-03-05","2022-02-21"
"GM","2 wk ahead inc death","quantile",0.75,1398,"2022-03-05","2022-02-21"
"GM","2 wk ahead inc death","quantile",0.975,7326,"2022-03-05","2022-02-21"
