"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,58018,"2021-10-16","2021-10-11"
"GM","1 wk ahead inc case","quantile",0.025,17115,"2021-10-16","2021-10-11"
"GM","1 wk ahead inc case","quantile",0.25,44674,"2021-10-16","2021-10-11"
"GM","1 wk ahead inc case","quantile",0.75,73741,"2021-10-16","2021-10-11"
"GM","1 wk ahead inc case","quantile",0.975,211593,"2021-10-16","2021-10-11"
"GM","2 wk ahead inc case","point",NA,58768,"2021-10-23","2021-10-11"
"GM","2 wk ahead inc case","quantile",0.025,4878,"2021-10-23","2021-10-11"
"GM","2 wk ahead inc case","quantile",0.25,32734,"2021-10-23","2021-10-11"
"GM","2 wk ahead inc case","quantile",0.75,86976,"2021-10-23","2021-10-11"
"GM","2 wk ahead inc case","quantile",0.975,455684,"2021-10-23","2021-10-11"
