"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,310,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc death","quantile",0.025,91,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc death","quantile",0.25,239,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc death","quantile",0.75,394,"2021-10-23","2021-10-18"
"GM","1 wk ahead inc death","quantile",0.975,1130,"2021-10-23","2021-10-18"
"GM","2 wk ahead inc death","point",NA,228,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc death","quantile",0.025,19,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc death","quantile",0.25,127,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc death","quantile",0.75,338,"2021-10-30","2021-10-18"
"GM","2 wk ahead inc death","quantile",0.975,1771,"2021-10-30","2021-10-18"
