"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,57,"2021-07-17","2021-07-12"
"PL","1 wk ahead inc death","quantile",0.025,17,"2021-07-17","2021-07-12"
"PL","1 wk ahead inc death","quantile",0.25,44,"2021-07-17","2021-07-12"
"PL","1 wk ahead inc death","quantile",0.75,73,"2021-07-17","2021-07-12"
"PL","1 wk ahead inc death","quantile",0.975,208,"2021-07-17","2021-07-12"
"PL","2 wk ahead inc death","point",NA,41,"2021-07-24","2021-07-12"
"PL","2 wk ahead inc death","quantile",0.025,3,"2021-07-24","2021-07-12"
"PL","2 wk ahead inc death","quantile",0.25,23,"2021-07-24","2021-07-12"
"PL","2 wk ahead inc death","quantile",0.75,61,"2021-07-24","2021-07-12"
"PL","2 wk ahead inc death","quantile",0.975,322,"2021-07-24","2021-07-12"
