"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,806,"2021-11-06","2021-11-01"
"PL","1 wk ahead inc death","quantile",0.025,238,"2021-11-06","2021-11-01"
"PL","1 wk ahead inc death","quantile",0.25,621,"2021-11-06","2021-11-01"
"PL","1 wk ahead inc death","quantile",0.75,1025,"2021-11-06","2021-11-01"
"PL","1 wk ahead inc death","quantile",0.975,2940,"2021-11-06","2021-11-01"
"PL","2 wk ahead inc death","point",NA,1028,"2021-11-13","2021-11-01"
"PL","2 wk ahead inc death","quantile",0.025,85,"2021-11-13","2021-11-01"
"PL","2 wk ahead inc death","quantile",0.25,572,"2021-11-13","2021-11-01"
"PL","2 wk ahead inc death","quantile",0.75,1521,"2021-11-13","2021-11-01"
"PL","2 wk ahead inc death","quantile",0.975,7969,"2021-11-13","2021-11-01"
