"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,184,"2021-07-03","2021-06-28"
"GM","1 wk ahead inc death","quantile",0.025,54,"2021-07-03","2021-06-28"
"GM","1 wk ahead inc death","quantile",0.25,142,"2021-07-03","2021-06-28"
"GM","1 wk ahead inc death","quantile",0.75,234,"2021-07-03","2021-06-28"
"GM","1 wk ahead inc death","quantile",0.975,672,"2021-07-03","2021-06-28"
"GM","2 wk ahead inc death","point",NA,101,"2021-07-10","2021-06-28"
"GM","2 wk ahead inc death","quantile",0.025,8,"2021-07-10","2021-06-28"
"GM","2 wk ahead inc death","quantile",0.25,56,"2021-07-10","2021-06-28"
"GM","2 wk ahead inc death","quantile",0.75,150,"2021-07-10","2021-06-28"
"GM","2 wk ahead inc death","quantile",0.975,783,"2021-07-10","2021-06-28"
