"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,97,"2022-09-03","2022-08-29"
"PL","1 wk ahead inc death","quantile",0.025,29,"2022-09-03","2022-08-29"
"PL","1 wk ahead inc death","quantile",0.25,75,"2022-09-03","2022-08-29"
"PL","1 wk ahead inc death","quantile",0.75,123,"2022-09-03","2022-08-29"
"PL","1 wk ahead inc death","quantile",0.975,353,"2022-09-03","2022-08-29"
"PL","2 wk ahead inc death","point",NA,91,"2022-09-10","2022-08-29"
"PL","2 wk ahead inc death","quantile",0.025,8,"2022-09-10","2022-08-29"
"PL","2 wk ahead inc death","quantile",0.25,50,"2022-09-10","2022-08-29"
"PL","2 wk ahead inc death","quantile",0.75,134,"2022-09-10","2022-08-29"
"PL","2 wk ahead inc death","quantile",0.975,702,"2022-09-10","2022-08-29"
