"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,77950,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc case","quantile",0.025,22995,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc case","quantile",0.25,60022,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc case","quantile",0.75,99075,"2022-01-15","2022-01-10"
"PL","1 wk ahead inc case","quantile",0.975,284284,"2022-01-15","2022-01-10"
"PL","2 wk ahead inc case","point",NA,75644,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc case","quantile",0.025,6278,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc case","quantile",0.25,42134,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc case","quantile",0.75,111954,"2022-01-22","2022-01-10"
"PL","2 wk ahead inc case","quantile",0.975,586546,"2022-01-22","2022-01-10"
