"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,102197,"2021-11-13","2021-11-08"
"PL","1 wk ahead inc case","quantile",0.025,30148,"2021-11-13","2021-11-08"
"PL","1 wk ahead inc case","quantile",0.25,78691,"2021-11-13","2021-11-08"
"PL","1 wk ahead inc case","quantile",0.75,129892,"2021-11-13","2021-11-08"
"PL","1 wk ahead inc case","quantile",0.975,372711,"2021-11-13","2021-11-08"
"PL","2 wk ahead inc case","point",NA,135579,"2021-11-20","2021-11-08"
"PL","2 wk ahead inc case","quantile",0.025,11253,"2021-11-20","2021-11-08"
"PL","2 wk ahead inc case","quantile",0.25,75517,"2021-11-20","2021-11-08"
"PL","2 wk ahead inc case","quantile",0.75,200657,"2021-11-20","2021-11-08"
"PL","2 wk ahead inc case","quantile",0.975,1051278,"2021-11-20","2021-11-08"
