"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,20,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc death","quantile",0.025,6,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc death","quantile",0.25,15,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc death","quantile",0.75,25,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc death","quantile",0.975,71,"2022-07-30","2022-07-25"
"PL","2 wk ahead inc death","point",NA,18,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc death","quantile",0.025,2,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc death","quantile",0.25,10,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc death","quantile",0.75,27,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc death","quantile",0.975,142,"2022-08-06","2022-07-25"
