"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,162316,"2022-01-08","2022-01-03"
"GM","1 wk ahead inc case","quantile",0.025,47883,"2022-01-08","2022-01-03"
"GM","1 wk ahead inc case","quantile",0.25,124983,"2022-01-08","2022-01-03"
"GM","1 wk ahead inc case","quantile",0.75,206303,"2022-01-08","2022-01-03"
"GM","1 wk ahead inc case","quantile",0.975,591965,"2022-01-08","2022-01-03"
"GM","2 wk ahead inc case","point",NA,143346,"2022-01-15","2022-01-03"
"GM","2 wk ahead inc case","quantile",0.025,11898,"2022-01-15","2022-01-03"
"GM","2 wk ahead inc case","quantile",0.25,79844,"2022-01-15","2022-01-03"
"GM","2 wk ahead inc case","quantile",0.75,212153,"2022-01-15","2022-01-03"
"GM","2 wk ahead inc case","quantile",0.975,1111509,"2022-01-15","2022-01-03"
