"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,682,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc death","quantile",0.025,201,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc death","quantile",0.25,525,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc death","quantile",0.75,867,"2022-05-21","2022-05-16"
"GM","1 wk ahead inc death","quantile",0.975,2488,"2022-05-21","2022-05-16"
"GM","2 wk ahead inc death","point",NA,533,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc death","quantile",0.025,44,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc death","quantile",0.25,297,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc death","quantile",0.75,789,"2022-05-28","2022-05-16"
"GM","2 wk ahead inc death","quantile",0.975,4133,"2022-05-28","2022-05-16"
