"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,62925,"2022-03-12","2022-03-07"
"PL","1 wk ahead inc case","quantile",0.025,18563,"2022-03-12","2022-03-07"
"PL","1 wk ahead inc case","quantile",0.25,48452,"2022-03-12","2022-03-07"
"PL","1 wk ahead inc case","quantile",0.75,79978,"2022-03-12","2022-03-07"
"PL","1 wk ahead inc case","quantile",0.975,229487,"2022-03-12","2022-03-07"
"PL","2 wk ahead inc case","point",NA,46421,"2022-03-19","2022-03-07"
"PL","2 wk ahead inc case","quantile",0.025,3853,"2022-03-19","2022-03-07"
"PL","2 wk ahead inc case","quantile",0.25,25857,"2022-03-19","2022-03-07"
"PL","2 wk ahead inc case","quantile",0.75,68703,"2022-03-19","2022-03-07"
"PL","2 wk ahead inc case","quantile",0.975,359950,"2022-03-19","2022-03-07"
