"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,142909,"2021-10-30","2021-10-25"
"GM","1 wk ahead inc case","quantile",0.025,42158,"2021-10-30","2021-10-25"
"GM","1 wk ahead inc case","quantile",0.25,110040,"2021-10-30","2021-10-25"
"GM","1 wk ahead inc case","quantile",0.75,181637,"2021-10-30","2021-10-25"
"GM","1 wk ahead inc case","quantile",0.975,521187,"2021-10-30","2021-10-25"
"GM","2 wk ahead inc case","point",NA,189814,"2021-11-06","2021-10-25"
"GM","2 wk ahead inc case","quantile",0.025,15755,"2021-11-06","2021-10-25"
"GM","2 wk ahead inc case","quantile",0.25,105726,"2021-11-06","2021-10-25"
"GM","2 wk ahead inc case","quantile",0.75,280925,"2021-11-06","2021-10-25"
"GM","2 wk ahead inc case","quantile",0.975,1471819,"2021-11-06","2021-10-25"
