"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,38753,"2022-04-02","2022-03-28"
"PL","1 wk ahead inc case","quantile",0.025,11432,"2022-04-02","2022-03-28"
"PL","1 wk ahead inc case","quantile",0.25,29840,"2022-04-02","2022-03-28"
"PL","1 wk ahead inc case","quantile",0.75,49255,"2022-04-02","2022-03-28"
"PL","1 wk ahead inc case","quantile",0.975,141332,"2022-04-02","2022-03-28"
"PL","2 wk ahead inc case","point",NA,27226,"2022-04-09","2022-03-28"
"PL","2 wk ahead inc case","quantile",0.025,2260,"2022-04-09","2022-03-28"
"PL","2 wk ahead inc case","quantile",0.25,15165,"2022-04-09","2022-03-28"
"PL","2 wk ahead inc case","quantile",0.75,40295,"2022-04-09","2022-03-28"
"PL","2 wk ahead inc case","quantile",0.975,211113,"2022-04-09","2022-03-28"
