"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,395,"2021-06-19","2021-06-14"
"GM","1 wk ahead inc death","quantile",0.025,117,"2021-06-19","2021-06-14"
"GM","1 wk ahead inc death","quantile",0.25,304,"2021-06-19","2021-06-14"
"GM","1 wk ahead inc death","quantile",0.75,503,"2021-06-19","2021-06-14"
"GM","1 wk ahead inc death","quantile",0.975,1442,"2021-06-19","2021-06-14"
"GM","2 wk ahead inc death","point",NA,265,"2021-06-26","2021-06-14"
"GM","2 wk ahead inc death","quantile",0.025,22,"2021-06-26","2021-06-14"
"GM","2 wk ahead inc death","quantile",0.25,148,"2021-06-26","2021-06-14"
"GM","2 wk ahead inc death","quantile",0.75,393,"2021-06-26","2021-06-14"
"GM","2 wk ahead inc death","quantile",0.975,2058,"2021-06-26","2021-06-14"
