"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,5173,"2022-05-07","2022-05-02"
"PL","1 wk ahead inc case","quantile",0.025,1526,"2022-05-07","2022-05-02"
"PL","1 wk ahead inc case","quantile",0.25,3984,"2022-05-07","2022-05-02"
"PL","1 wk ahead inc case","quantile",0.75,6575,"2022-05-07","2022-05-02"
"PL","1 wk ahead inc case","quantile",0.975,18868,"2022-05-07","2022-05-02"
"PL","2 wk ahead inc case","point",NA,4737,"2022-05-14","2022-05-02"
"PL","2 wk ahead inc case","quantile",0.025,393,"2022-05-14","2022-05-02"
"PL","2 wk ahead inc case","quantile",0.25,2639,"2022-05-14","2022-05-02"
"PL","2 wk ahead inc case","quantile",0.75,7011,"2022-05-14","2022-05-02"
"PL","2 wk ahead inc case","quantile",0.975,36731,"2022-05-14","2022-05-02"
