"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1568,"2021-05-15","2021-05-10"
"GM","1 wk ahead inc death","quantile",0.025,463,"2021-05-15","2021-05-10"
"GM","1 wk ahead inc death","quantile",0.25,1207,"2021-05-15","2021-05-10"
"GM","1 wk ahead inc death","quantile",0.75,1993,"2021-05-15","2021-05-10"
"GM","1 wk ahead inc death","quantile",0.975,5718,"2021-05-15","2021-05-10"
"GM","2 wk ahead inc death","point",NA,1539,"2021-05-22","2021-05-10"
"GM","2 wk ahead inc death","quantile",0.025,128,"2021-05-22","2021-05-10"
"GM","2 wk ahead inc death","quantile",0.25,857,"2021-05-22","2021-05-10"
"GM","2 wk ahead inc death","quantile",0.75,2278,"2021-05-22","2021-05-10"
"GM","2 wk ahead inc death","quantile",0.975,11935,"2021-05-22","2021-05-10"
