"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,407,"2021-10-09","2021-10-04"
"GM","1 wk ahead inc death","quantile",0.025,120,"2021-10-09","2021-10-04"
"GM","1 wk ahead inc death","quantile",0.25,314,"2021-10-09","2021-10-04"
"GM","1 wk ahead inc death","quantile",0.75,518,"2021-10-09","2021-10-04"
"GM","1 wk ahead inc death","quantile",0.975,1486,"2021-10-09","2021-10-04"
"GM","2 wk ahead inc death","point",NA,383,"2021-10-16","2021-10-04"
"GM","2 wk ahead inc death","quantile",0.025,32,"2021-10-16","2021-10-04"
"GM","2 wk ahead inc death","quantile",0.25,214,"2021-10-16","2021-10-04"
"GM","2 wk ahead inc death","quantile",0.75,567,"2021-10-16","2021-10-04"
"GM","2 wk ahead inc death","quantile",0.975,2972,"2021-10-16","2021-10-04"
