"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,16855,"2022-09-10","2022-09-05"
"PL","1 wk ahead inc case","quantile",0.025,4972,"2022-09-10","2022-09-05"
"PL","1 wk ahead inc case","quantile",0.25,12978,"2022-09-10","2022-09-05"
"PL","1 wk ahead inc case","quantile",0.75,21422,"2022-09-10","2022-09-05"
"PL","1 wk ahead inc case","quantile",0.975,61469,"2022-09-10","2022-09-05"
"PL","2 wk ahead inc case","point",NA,14187,"2022-09-17","2022-09-05"
"PL","2 wk ahead inc case","quantile",0.025,1178,"2022-09-17","2022-09-05"
"PL","2 wk ahead inc case","quantile",0.25,7902,"2022-09-17","2022-09-05"
"PL","2 wk ahead inc case","quantile",0.75,20997,"2022-09-17","2022-09-05"
"PL","2 wk ahead inc case","quantile",0.975,110006,"2022-09-17","2022-09-05"
