"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1170,"2021-05-29","2021-05-24"
"GM","1 wk ahead inc death","quantile",0.025,345,"2021-05-29","2021-05-24"
"GM","1 wk ahead inc death","quantile",0.25,901,"2021-05-29","2021-05-24"
"GM","1 wk ahead inc death","quantile",0.75,1487,"2021-05-29","2021-05-24"
"GM","1 wk ahead inc death","quantile",0.975,4267,"2021-05-29","2021-05-24"
"GM","2 wk ahead inc death","point",NA,1070,"2021-06-05","2021-05-24"
"GM","2 wk ahead inc death","quantile",0.025,89,"2021-06-05","2021-05-24"
"GM","2 wk ahead inc death","quantile",0.25,596,"2021-06-05","2021-05-24"
"GM","2 wk ahead inc death","quantile",0.75,1583,"2021-06-05","2021-05-24"
"GM","2 wk ahead inc death","quantile",0.975,8296,"2021-06-05","2021-05-24"
