"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,1090,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc death","quantile",0.025,322,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc death","quantile",0.25,839,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc death","quantile",0.75,1386,"2022-03-26","2022-03-21"
"GM","1 wk ahead inc death","quantile",0.975,3976,"2022-03-26","2022-03-21"
"GM","2 wk ahead inc death","point",NA,959,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc death","quantile",0.025,80,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc death","quantile",0.25,534,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc death","quantile",0.75,1419,"2022-04-02","2022-03-21"
"GM","2 wk ahead inc death","quantile",0.975,7435,"2022-04-02","2022-03-21"
