"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,498,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc case","quantile",0.025,147,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc case","quantile",0.25,383,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc case","quantile",0.75,633,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc case","quantile",0.975,1816,"2021-07-10","2021-07-05"
"PL","2 wk ahead inc case","point",NA,366,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc case","quantile",0.025,30,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc case","quantile",0.25,204,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc case","quantile",0.75,541,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc case","quantile",0.975,2835,"2021-07-17","2021-07-05"
