"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,2623,"2021-05-01","2021-04-26"
"PL","1 wk ahead inc death","quantile",0.025,774,"2021-05-01","2021-04-26"
"PL","1 wk ahead inc death","quantile",0.25,2020,"2021-05-01","2021-04-26"
"PL","1 wk ahead inc death","quantile",0.75,3334,"2021-05-01","2021-04-26"
"PL","1 wk ahead inc death","quantile",0.975,9567,"2021-05-01","2021-04-26"
"PL","2 wk ahead inc death","point",NA,1706,"2021-05-08","2021-04-26"
"PL","2 wk ahead inc death","quantile",0.025,142,"2021-05-08","2021-04-26"
"PL","2 wk ahead inc death","quantile",0.25,950,"2021-05-08","2021-04-26"
"PL","2 wk ahead inc death","quantile",0.75,2526,"2021-05-08","2021-04-26"
"PL","2 wk ahead inc death","quantile",0.975,13232,"2021-05-08","2021-04-26"
