"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,10,"2022-07-02","2022-06-27"
"PL","1 wk ahead inc death","quantile",0.025,3,"2022-07-02","2022-06-27"
"PL","1 wk ahead inc death","quantile",0.25,8,"2022-07-02","2022-06-27"
"PL","1 wk ahead inc death","quantile",0.75,13,"2022-07-02","2022-06-27"
"PL","1 wk ahead inc death","quantile",0.975,36,"2022-07-02","2022-06-27"
"PL","2 wk ahead inc death","point",NA,6,"2022-07-09","2022-06-27"
"PL","2 wk ahead inc death","quantile",0.025,1,"2022-07-09","2022-06-27"
"PL","2 wk ahead inc death","quantile",0.25,4,"2022-07-09","2022-06-27"
"PL","2 wk ahead inc death","quantile",0.75,10,"2022-07-09","2022-06-27"
"PL","2 wk ahead inc death","quantile",0.975,50,"2022-07-09","2022-06-27"
