"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,4792,"2022-07-09","2022-07-04"
"PL","1 wk ahead inc case","quantile",0.025,1413,"2022-07-09","2022-07-04"
"PL","1 wk ahead inc case","quantile",0.25,3689,"2022-07-09","2022-07-04"
"PL","1 wk ahead inc case","quantile",0.75,6090,"2022-07-09","2022-07-04"
"PL","1 wk ahead inc case","quantile",0.975,17475,"2022-07-09","2022-07-04"
"PL","2 wk ahead inc case","point",NA,7461,"2022-07-16","2022-07-04"
"PL","2 wk ahead inc case","quantile",0.025,619,"2022-07-16","2022-07-04"
"PL","2 wk ahead inc case","quantile",0.25,4156,"2022-07-16","2022-07-04"
"PL","2 wk ahead inc case","quantile",0.75,11042,"2022-07-16","2022-07-04"
"PL","2 wk ahead inc case","quantile",0.975,57851,"2022-07-16","2022-07-04"
