"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,2495,"2021-09-18","2021-09-13"
"PL","1 wk ahead inc case","quantile",0.025,736,"2021-09-18","2021-09-13"
"PL","1 wk ahead inc case","quantile",0.25,1921,"2021-09-18","2021-09-13"
"PL","1 wk ahead inc case","quantile",0.75,3171,"2021-09-18","2021-09-13"
"PL","1 wk ahead inc case","quantile",0.975,9098,"2021-09-18","2021-09-13"
"PL","2 wk ahead inc case","point",NA,2343,"2021-09-25","2021-09-13"
"PL","2 wk ahead inc case","quantile",0.025,194,"2021-09-25","2021-09-13"
"PL","2 wk ahead inc case","quantile",0.25,1305,"2021-09-25","2021-09-13"
"PL","2 wk ahead inc case","quantile",0.75,3468,"2021-09-25","2021-09-13"
"PL","2 wk ahead inc case","quantile",0.975,18169,"2021-09-25","2021-09-13"
