"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,68,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc death","quantile",0.025,20,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc death","quantile",0.25,52,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc death","quantile",0.75,86,"2021-07-10","2021-07-05"
"PL","1 wk ahead inc death","quantile",0.975,246,"2021-07-10","2021-07-05"
"PL","2 wk ahead inc death","point",NA,46,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc death","quantile",0.025,4,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc death","quantile",0.25,25,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc death","quantile",0.75,67,"2021-07-17","2021-07-05"
"PL","2 wk ahead inc death","quantile",0.975,353,"2021-07-17","2021-07-05"
