"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,18062,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc case","quantile",0.025,5328,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc case","quantile",0.25,13908,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc case","quantile",0.75,22957,"2022-07-30","2022-07-25"
"PL","1 wk ahead inc case","quantile",0.975,65872,"2022-07-30","2022-07-25"
"PL","2 wk ahead inc case","point",NA,18298,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc case","quantile",0.025,1519,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc case","quantile",0.25,10192,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc case","quantile",0.75,27081,"2022-08-06","2022-07-25"
"PL","2 wk ahead inc case","quantile",0.975,141883,"2022-08-06","2022-07-25"
