"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,1835,"2022-02-12","2022-02-07"
"PL","1 wk ahead inc death","quantile",0.025,541,"2022-02-12","2022-02-07"
"PL","1 wk ahead inc death","quantile",0.25,1413,"2022-02-12","2022-02-07"
"PL","1 wk ahead inc death","quantile",0.75,2333,"2022-02-12","2022-02-07"
"PL","1 wk ahead inc death","quantile",0.975,6694,"2022-02-12","2022-02-07"
"PL","2 wk ahead inc death","point",NA,1869,"2022-02-19","2022-02-07"
"PL","2 wk ahead inc death","quantile",0.025,155,"2022-02-19","2022-02-07"
"PL","2 wk ahead inc death","quantile",0.25,1041,"2022-02-19","2022-02-07"
"PL","2 wk ahead inc death","quantile",0.75,2766,"2022-02-19","2022-02-07"
"PL","2 wk ahead inc death","quantile",0.975,14492,"2022-02-19","2022-02-07"
