"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,3365,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc death","quantile",0.025,993,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc death","quantile",0.25,2591,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc death","quantile",0.75,4277,"2021-12-18","2021-12-13"
"GM","1 wk ahead inc death","quantile",0.975,12272,"2021-12-18","2021-12-13"
"GM","2 wk ahead inc death","point",NA,4139,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc death","quantile",0.025,344,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc death","quantile",0.25,2305,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc death","quantile",0.75,6126,"2021-12-25","2021-12-13"
"GM","2 wk ahead inc death","quantile",0.975,32094,"2021-12-25","2021-12-13"
