"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,117150,"2021-05-08","2021-05-03"
"GM","1 wk ahead inc case","quantile",0.025,34559,"2021-05-08","2021-05-03"
"GM","1 wk ahead inc case","quantile",0.25,90205,"2021-05-08","2021-05-03"
"GM","1 wk ahead inc case","quantile",0.75,148897,"2021-05-08","2021-05-03"
"GM","1 wk ahead inc case","quantile",0.975,427245,"2021-05-08","2021-05-03"
"GM","2 wk ahead inc case","point",NA,102022,"2021-05-15","2021-05-03"
"GM","2 wk ahead inc case","quantile",0.025,8468,"2021-05-15","2021-05-03"
"GM","2 wk ahead inc case","quantile",0.25,56826,"2021-05-15","2021-05-03"
"GM","2 wk ahead inc case","quantile",0.75,150993,"2021-05-15","2021-05-03"
"GM","2 wk ahead inc case","quantile",0.975,791082,"2021-05-15","2021-05-03"
