"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,1599,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc death","quantile",0.025,472,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc death","quantile",0.25,1231,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc death","quantile",0.75,2032,"2022-03-05","2022-02-28"
"PL","1 wk ahead inc death","quantile",0.975,5832,"2022-03-05","2022-02-28"
"PL","2 wk ahead inc death","point",NA,1534,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc death","quantile",0.025,127,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc death","quantile",0.25,854,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc death","quantile",0.75,2270,"2022-03-12","2022-02-28"
"PL","2 wk ahead inc death","quantile",0.975,11895,"2022-03-12","2022-02-28"
